word, event, baseline, diff
violent,0.0702,0.0376,0.0325
friday,0.0695,0.0063,0.0632
possible,0.0695,0.0655,0.0040
hate,0.0695,0.0101,0.0594
responsibility,0.0695,0.0547,0.0148
violence,0.0688,0.0541,0.0147
six,0.0682,0.0487,0.0195
gates,0.0682,0.0066,0.0616
democracy,0.0675,0.0250,0.0425
secretary,0.0662,0.0261,0.0400
president,0.0662,0.0997,-0.0335
street,0.0655,0.0269,0.0386
streets,0.0655,0.0269,0.0386
islamist,0.0648,0.0001,0.0647
10,0.0648,0.0636,0.0013
injuries,0.0642,0.0143,0.0499
recent,0.0642,0.0476,0.0165
major,0.0635,0.0448,0.0187
scotland,0.0628,0.0013,0.0615
suspect,0.0628,0.0118,0.0510
ambulance,0.0608,0.0007,0.0601
every,0.0608,0.1184,-0.0576
bravery,0.0602,0.0128,0.0474
seven,0.0602,0.0301,0.0300
ago,0.0595,0.0471,0.0124
deputy,0.0595,0.0051,0.0543
sense,0.0595,0.0712,-0.0117
prison,0.0588,0.0062,0.0526
parliamentary,0.0588,0.0010,0.0578
past,0.0588,0.0595,-0.0006
difficult,0.0588,0.0585,0.0003
wife,0.0582,0.0248,0.0334
walking,0.0582,0.0192,0.0389
cochran,0.0575,0.0001,0.0574
court,0.0575,0.0304,0.0270
khan,0.0568,0.0005,0.0563
foreign,0.0561,0.0464,0.0098
offences,0.0561,0.0247,0.0315
added,0.0555,0.1147,-0.0592
extremism,0.0548,0.0003,0.0545
quickly,0.0548,0.0401,0.0147
members,0.0535,0.0184,0.0351
river,0.0535,0.0189,0.0345
week,0.0535,0.0329,0.0206
member,0.0535,0.0184,0.0351
community,0.0528,0.0435,0.0093
high,0.0528,0.0826,-0.0298
40,0.0528,0.0138,0.0390
communities,0.0528,0.0435,0.0093
mayor,0.0521,0.0047,0.0474
french,0.0521,0.0147,0.0374
hall,0.0515,0.0258,0.0256
suspicion,0.0508,0.0078,0.0430
england,0.0508,0.0159,0.0349
inspired,0.0501,0.0289,0.0212
husband,0.0488,0.0160,0.0327
deeply,0.0488,0.0229,0.0259
afternoon,0.0481,0.0114,0.0367
september,0.0481,0.0111,0.0370
online,0.0475,0.0000,0.0475
american,0.0468,0.1395,-0.0927
april,0.0468,0.0093,0.0375
victims,0.0461,0.0037,0.0424
along,0.0461,0.0427,0.0034
