word, event, baseline, diff
financial,0.0416,0.0536,-0.0120
england,0.0410,0.0159,0.0251
june,0.0410,0.0151,0.0259
afternoon,0.0410,0.0114,0.0296
atmospheric,0.0410,0.0011,0.0399
bermuda,0.0404,0.0010,0.0394
members,0.0392,0.0184,0.0208
andrew,0.0392,0.0015,0.0377
must,0.0392,0.2660,-0.2268
privacy,0.0392,0.0042,0.0350
member,0.0392,0.0184,0.0208
team,0.0387,0.0113,0.0273
feet,0.0381,0.0336,0.0044
waves,0.0357,0.0136,0.0221
associated,0.0346,0.0077,0.0268
airports,0.0305,0.0028,0.0277
including,0.0281,0.0217,0.0064
nws,0.0234,0.0034,0.0200
officials,0.0228,0.0094,0.0135
gusts,0.0228,0.0061,0.0168
inches,0.0205,0.0143,0.0062
thousands,0.0193,0.0289,-0.0096
canceled,0.0182,0.0053,0.0128
killed,0.0088,0.0149,-0.0061
residents,0.0082,0.0021,0.0061
outages,0.0076,0.0001,0.0075
scientists,0.0064,0.0023,0.0042
miles,0.0053,0.0072,-0.0019
archived,0.0053,0.0001,0.0052
media,0.0041,0.0117,-0.0076
victims,0.0023,0.0037,-0.0014
workers,0.0023,0.0100,-0.0076
customers,0.0018,0.0047,-0.0030
forecasters,0.0018,0.0006,0.0011
2012,0.0000,0.0000,0.0000
2012.,0.0000,0.0000,0.0000
would,0.0000,0.0000,0.0000
edt,0.0000,0.0000,0.0000
oct.,0.0000,0.0000,0.0000
without,0.0000,0.0000,0.0000
superstorm,0.0000,0.0000,0.0000
2013,0.0000,0.0000,0.0000
since,0.0000,0.0000,0.0000
n't,0.0000,0.0000,0.0000
obama,0.0000,0.0000,0.0000
2014,0.0000,0.0000,0.0000
2015,0.0000,0.0000,0.0000
toward,0.0000,0.0000,0.0000
gov,0.0000,0.0000,0.0000
via,0.0000,0.0000,0.0000
bloomberg,0.0000,0.0000,0.0000
irene,0.0000,0.0000,0.0000
2017,0.0000,0.0000,0.0000
among,0.0000,0.0000,0.0000
2016,0.0000,0.0000,0.0000
staten,0.0000,0.0000,0.0000
n.j.,0.0000,0.0000,0.0000
cuomo,0.0000,0.0000,0.0000
n.y.,0.0000,0.0000,0.0000
facebook,0.0000,0.0000,0.0000
chris,0.0000,0.0000,0.0000
2012-10-29,0.0000,0.0000,0.0000
2012-10-30.,0.0000,0.0000,0.0000
2012-10-29.,0.0000,0.0000,0.0000
cnn,0.0000,0.0000,0.0000
